Image Number,Single Core,Multiple Core,Multiple Threads (100),Multiple Threads (500)
511,40.97197,4.80296,6.58416,19.70195
512,41.05415,4.88487,6.58624,19.70195
513,41.1579,4.98488,6.59211,19.70594
514,41.26267,5.10085,6.60103,19.70684
515,41.44272,5.2029,6.60354,19.70684
516,41.58341,5.26388,6.60865,19.7148
517,41.74634,5.3819,6.61882,19.71779
518,41.82834,5.45987,6.61983,19.71979
519,41.94626,5.55194,6.62284,19.72478
520,42.03998,5.62889,6.62583,19.72577
521,42.11261,5.68689,6.63271,19.72577
522,42.18532,5.77328,6.63566,19.72976
523,42.23771,5.84608,6.64192,19.73076
524,42.31293,5.95597,6.64595,19.73176
525,42.39503,6.08594,6.65394,19.73674
526,42.44402,6.16496,6.65594,19.7517
527,42.50833,6.24593,6.65893,19.75669
528,42.53262,6.28635,6.66092,19.76168
529,42.54718,6.30604,6.83145,19.76268
530,42.62829,6.38617,6.8335,19.76666
531,42.73382,6.49424,6.83549,19.77065
532,42.86459,3.21079,6.83649,17.80918
533,42.95134,3.30152,6.83749,19.77464
534,43.26728,3.65027,6.8415,19.77564
535,43.31147,3.68573,6.84504,19.77664
536,43.36413,3.7261,6.85478,19.77919
537,43.39664,3.77656,6.85628,19.78019
538,43.42987,3.81003,6.85628,19.78318
539,43.47958,3.84727,6.8638,19.78418
540,43.53975,3.88767,6.86778,19.78518
541,43.60539,3.92351,6.86914,19.78839
542,43.65468,3.98155,6.87534,19.7894
543,43.69022,4.02567,6.88017,19.7894
544,43.7484,4.07477,6.91625,19.7927
545,43.8034,4.12776,6.94382,19.79438
546,43.86048,4.16875,6.95072,19.79555
547,44.34512,4.58037,6.9606,19.80272
548,44.39627,4.61088,6.97001,19.80371
549,44.5514,4.7401,6.97201,19.81009
550,44.58912,4.78997,6.98654,19.81495
551,44.60679,4.81889,6.99642,19.81604
552,44.62816,4.84385,7.00045,19.81704
553,44.67155,4.87584,7.00245,19.81837
554,44.6961,4.90883,7.00444,19.81976
555,44.86109,5.07484,7.00952,19.82076
556,44.88969,5.11499,7.01048,19.82275
557,44.9174,5.1489,7.01348,19.82475
558,44.95067,5.18187,7.02648,19.82515
559,44.96127,5.19089,7.02862,19.83269
560,45.06,5.27686,7.03484,19.83713
561,45.06962,5.28684,7.03554,19.83812
562,45.09717,5.34092,7.04953,19.84511
563,45.15797,5.43386,7.05053,19.85148
564,45.22772,5.52996,7.05452,19.85264
565,45.24513,5.55192,7.24583,19.85447
566,45.26736,5.56587,7.25285,19.85547
567,45.29464,5.6009,7.25983,19.85747
568,45.31101,5.62188,7.27277,19.85961
569,45.33796,5.64987,7.2849,19.85961
570,45.36214,5.67089,7.29271,19.86245
571,45.38445,5.68985,7.2977,19.86345
572,45.43051,5.72089,7.30274,19.86445
573,45.46275,3.39246,7.45482,19.86879
574,45.49006,3.43289,7.45783,19.87369
575,45.5292,3.46561,7.46083,19.87794
576,46.49336,4.05571,7.46183,19.87894
577,46.52768,4.09029,7.46662,19.88093
578,46.55012,4.11377,7.46794,19.88592
579,46.58796,4.15975,7.4729,19.88692
580,46.61142,4.17874,7.47641,19.88692
581,46.64932,4.22031,7.4781,19.89888
582,46.67525,4.24881,7.48091,19.89888
583,46.69918,4.27482,7.50085,19.89988
584,46.72329,4.33583,7.50551,19.89988
585,46.75022,4.36586,7.50806,19.90188
586,46.77914,4.39186,7.51793,19.90387
587,46.81305,4.42036,7.66984,19.90786
588,46.84696,4.44985,7.67284,19.90886
589,46.87289,4.47986,7.67483,19.91584
590,46.90416,4.52984,7.68103,19.91584
591,46.92976,4.5509,7.68786,19.91684
592,46.94971,4.57089,7.69384,19.91684
593,46.9717,4.60187,7.69789,19.91851
594,46.9906,4.62288,7.70404,19.92002
595,47.00357,4.63886,7.70591,19.93051
596,47.03105,3.53651,7.80002,19.93151
597,47.25537,3.78986,7.80281,17.64313
598,47.30697,3.83515,7.80381,19.94048
599,47.3867,3.8796,7.8068,19.93649
600,47.48486,3.91992,7.81209,19.94354
601,47.66806,4.05565,7.82581,19.94647
602,47.80506,4.12268,7.82762,19.94859
603,47.90411,4.19072,7.82829,19.95059
604,47.97614,4.27873,7.82926,19.95557
605,48.10778,4.45877,7.83182,19.95557
606,48.16721,4.52177,7.84706,19.95557
607,48.22688,4.59079,7.85818,19.96655
608,48.26376,4.63925,7.86021,19.96754
609,48.37982,4.75195,7.86624,19.96854
610,48.43538,4.8058,7.86915,19.99765
611,48.48511,4.86025,7.87117,19.99964
612,48.53362,4.89475,7.87411,20.00233
613,48.56213,4.91879,7.87913,20.00233
614,48.6124,4.97276,7.88126,20.0038
615,48.64507,5.02024,7.88423,20.00632
616,48.71175,5.05973,7.88929,20.00732
617,48.75577,5.09043,7.99881,20.00831
618,48.82769,5.14977,7.99981,20.00831
619,48.87744,5.20874,8.0028,20.00831
620,48.88075,5.21575,8.00854,20.00831
621,48.9283,5.26677,8.01359,20.00931
622,48.98826,5.30873,8.01665,20.0143
623,48.99425,5.31175,8.01962,20.0143
624,49.00335,5.33181,8.02261,20.03225
625,49.02891,5.38777,8.03013,20.03325
626,49.11883,5.46875,8.03419,20.03425
627,49.17191,4.03918,8.03628,20.03524
628,49.66865,4.49551,8.04238,20.03624
629,50.32145,4.99451,8.04891,20.03724
630,50.67794,5.30148,8.04991,20.03724
